Date,Daily average price of ULP,Quarterly average price of ULP
2020-03,143.47,139.4
2020-03,142.05,139.4
2020-03,143.51,139.4
2020-03,144.1,139.4
2020-03,143.14,139.4
2020-03,142.35,139.4
2020-03,147.04,139.4
2020-03,148.26,139.4
2020-03,148.76,139.4
2020-03,150.68,139.4
2020-03,151.82,139.4
2020-03,152.58,139.4
2020-03,153.56,139.4
2020-03,160.44,139.4
2020-03,160.93,139.4
2020-03,159.34,139.4
2020-03,156.06,139.4
2020-03,152.74,139.4
2020-03,152.96,139.4
2020-03,153.27,139.4
2020-03,156.21,139.4
2020-03,154.07,139.4
2020-03,150.76,139.4
2020-03,147.86,139.4
2020-03,145.34,139.4
2020-03,143.34,139.4
2020-03,140.93,139.4
2020-03,143.97,139.4
2020-03,142.05,139.4
2020-03,139.27,139.4
2020-03,136.99,139.4
2020-03,134.75,139.4
2020-03,133.32,139.4
2020-03,133.58,139.4
2020-03,137.42,139.4
2020-03,140.03,139.4
2020-03,141,139.4
2020-03,140.75,139.4
2020-03,139.68,139.4
2020-03,139.14,139.4
2020-03,140.8,139.4
2020-03,148.04,139.4
2020-03,155,139.4
2020-03,155.72,139.4
2020-03,154.9,139.4
2020-03,151.05,139.4
2020-03,149.19,139.4
2020-03,148.68,139.4
2020-03,149.08,139.4
2020-03,148.64,139.4
2020-03,148.03,139.4
2020-03,146.74,139.4
2020-03,143.23,139.4
2020-03,141.4,139.4
2020-03,139.24,139.4
2020-03,138.32,139.4
2020-03,138.32,139.4
2020-03,135.79,139.4
2020-03,133.38,139.4
2020-03,132.29,139.4
2020-03,130.19,139.4
2020-03,129.13,139.4
2020-03,129.85,139.4
2020-03,130.99,139.4
2020-03,130,139.4
2020-03,128.24,139.4
2020-03,126.84,139.4
2020-03,125.77,139.4
2020-03,124.51,139.4
2020-03,125.58,139.4
2020-03,127.66,139.4
2020-03,128.62,139.4
2020-03,126.8,139.4
2020-03,126.52,139.4
2020-03,125.8,139.4
2020-03,124.13,139.4
2020-03,126.83,139.4
2020-03,130.21,139.4
2020-03,129.75,139.4
2020-03,130.71,139.4
2020-03,129.01,139.4
2020-03,128.6,139.4
2020-03,128.67,139.4
2020-03,129.49,139.4
2020-03,128.72,139.4
2020-03,126.57,139.4
2020-03,124.31,139.4
2020-03,120.56,139.4
2020-03,119.09,139.4
2020-03,120.37,139.4
2020-03,126.52,139.4
2020-06,120.09,110.49
2020-06,119.78,110.49
2020-06,119.32,110.49
2020-06,116.25,110.49
2020-06,114.25,110.49
2020-06,112.68,110.49
2020-06,112.09,110.49
2020-06,115.44,110.49
2020-06,113.45,110.49
2020-06,109.81,110.49
2020-06,107.68,110.49
2020-06,104.83,110.49
2020-06,102.6,110.49
2020-06,102.49,110.49
2020-06,106.21,110.49
2020-06,106.2,110.49
2020-06,105.35,110.49
2020-06,103.15,110.49
2020-06,101.26,110.49
2020-06,99.81,110.49
2020-06,97.92,110.49
2020-06,102.46,110.49
2020-06,100.48,110.49
2020-06,97.4,110.49
2020-06,95.2,110.49
2020-06,93.6,110.49
2020-06,92.46,110.49
2020-06,92.3,110.49
2020-06,99.76,110.49
2020-06,100.14,110.49
2020-06,100.92,110.49
2020-06,99.41,110.49
2020-06,97.79,110.49
2020-06,96.2,110.49
2020-06,96.84,110.49
2020-06,104.13,110.49
2020-06,105.24,110.49
2020-06,104.7,110.49
2020-06,103.87,110.49
2020-06,106.28,110.49
2020-06,107.45,110.49
2020-06,108.53,110.49
2020-06,115.18,110.49
2020-06,115.28,110.49
2020-06,113.44,110.49
2020-06,111.11,110.49
2020-06,109.38,110.49
2020-06,108.72,110.49
2020-06,107.36,110.49
2020-06,112.29,110.49
2020-06,110.92,110.49
2020-06,108.91,110.49
2020-06,108.18,110.49
